pos	ACTB_h1_%_col_0cov	ACTB_h1_num_col_0cov
12481019	0.0	0
12481020	0.0	0
12481021	0.0	0
12481022	0.0	0
12481023	0.0	0
12481024	0.0	0
12481025	0.0	0
12481026	0.0	0
12481027	0.0	0
12481028	0.0	0
12481029	0.0	0
12481030	0.0	0
12481031	0.0	0
12481032	0.0	0
12481033	0.0	0
12481034	0.0	0
12481035	0.0	0
12481036	0.0	0
12481037	0.0	0
12481038	0.0	0
12481039	0.0	0
12481040	0.0	0
12481041	0.0	0
12481042	0.0	0
12481043	0.0	0
12481044	0.0	0
12481045	0.0	0
12481046	0.0	0
12481047	0.0	0
12481048	0.1968503937007874	1
12481049	0.1968503937007874	1
12481050	0.1968503937007874	1
12481051	0.1968503937007874	1
12481052	0.1968503937007874	1
12481053	0.1968503937007874	1
12481054	0.1968503937007874	1
12481055	0.1968503937007874	1
12481056	0.1968503937007874	1
12481057	0.1968503937007874	1
12481058	0.1968503937007874	1
12481059	0.1968503937007874	1
12481060	0.1968503937007874	1
12481061	0.1968503937007874	1
12481062	0.1968503937007874	1
12481063	0.1968503937007874	1
12481064	0.1968503937007874	1
12481065	0.1968503937007874	1
12481066	0.1968503937007874	1
12481067	0.1968503937007874	1
12481068	0.1968503937007874	1
12481069	0.1968503937007874	1
12481070	0.1968503937007874	1
12481071	0.1968503937007874	1
12481072	0.1968503937007874	1
12481073	0.5905511811023622	3
12481074	0.5905511811023622	3
12481075	0.5905511811023622	3
12481076	0.5905511811023622	3
12481077	0.5905511811023622	3
12481078	0.5905511811023622	3
12481079	0.5905511811023622	3
12481080	0.5905511811023622	3
12481081	0.5905511811023622	3
12481082	0.984251968503937	5
12481083	0.984251968503937	5
12481084	1.1811023622047243	6
12481085	1.3779527559055118	7
12481086	1.3779527559055118	7
12481087	1.3779527559055118	7
12481088	1.3779527559055118	7
12481089	1.3779527559055118	7
12481090	1.5748031496062993	8
12481091	1.5748031496062993	8
12481092	1.7716535433070866	9
12481093	1.968503937007874	10
12481094	2.1653543307086616	11
12481095	2.1653543307086616	11
12481096	2.3622047244094486	12
12481097	2.3622047244094486	12
12481098	2.3622047244094486	12
12481099	2.3622047244094486	12
12481100	2.3622047244094486	12
12481101	2.559055118110236	13
12481102	2.952755905511811	15
12481103	3.1496062992125986	16
12481104	3.1496062992125986	16
12481105	3.543307086614173	18
12481106	3.7401574803149606	19
12481107	4.330708661417323	22
12481108	4.921259842519685	25
12481109	5.118110236220472	26
12481110	5.511811023622047	28
12481111	5.905511811023622	30
12481112	5.905511811023622	30
12481113	6.102362204724409	31
12481114	6.299212598425197	32
12481115	6.692913385826771	34
12481116	6.692913385826771	34
12481117	7.086614173228346	36
12481118	7.480314960629921	38
12481119	8.070866141732283	41
12481120	8.858267716535433	45
12481121	9.645669291338583	49
12481122	10.236220472440944	52
12481123	10.62992125984252	54
12481124	11.811023622047244	60
12481125	12.401574803149606	63
12481126	13.385826771653543	68
12481127	14.763779527559056	75
12481128	15.551181102362206	79
12481129	15.94488188976378	81
12481130	17.125984251968504	87
12481131	17.322834645669293	88
12481132	17.716535433070867	90
12481133	18.700787401574804	95
12481134	20.275590551181104	103
12481135	20.669291338582678	105
12481136	21.062992125984252	107
12481137	21.653543307086615	110
12481138	22.04724409448819	112
12481139	22.637795275590552	115
12481140	22.834645669291337	116
12481141	24.606299212598426	125
12481231	74.60629921259843	379
12481232	74.21259842519684	377
12481233	74.01574803149606	376
12481234	73.81889763779527	375
12481235	73.62204724409449	374
12481236	73.62204724409449	374
12481237	73.4251968503937	373
12481238	73.22834645669292	372
12481239	73.4251968503937	373
12481240	73.4251968503937	373
12481241	73.4251968503937	373
12481242	73.4251968503937	373
12481243	73.22834645669292	372
12481244	73.22834645669292	372
12481245	73.03149606299213	371
12481246	73.03149606299213	371
12481247	73.03149606299213	371
12481248	72.63779527559055	369
12481249	72.83464566929133	370
12481250	72.83464566929133	370
12481251	72.83464566929133	370
12481252	72.83464566929133	370
12481253	72.83464566929133	370
12481254	72.83464566929133	370
12481255	72.44094488188976	368
12481256	72.24409448818898	367
12481257	72.24409448818898	367
12481258	72.04724409448819	366
12481259	71.45669291338582	363
12481260	71.06299212598425	361
12481261	71.06299212598425	361
12481262	70.86614173228347	360
12481263	70.86614173228347	360
12481264	70.4724409448819	358
12481265	70.07874015748031	356
12481266	69.88188976377953	355
12481267	69.88188976377953	355
12481268	69.88188976377953	355
12481269	70.2755905511811	357
12481270	70.2755905511811	357
12481271	69.68503937007874	354
12481272	69.48818897637796	353
