pos	ACTB_h1_tr_%_col_0cov	ACTB_h1_tr_num_col_0cov
12481019	0.0	0
12481020	0.0	0
12481021	0.0	0
12481022	0.0	0
12481023	0.0	0
12481024	0.0	0
12481025	0.0	0
12481026	0.0	0
12481027	0.0	0
12481028	0.0	0
12481029	0.0	0
12481030	0.0	0
12481031	0.0	0
12481032	0.0	0
12481033	0.0	0
12481034	0.0	0
12481035	0.0	0
12481036	0.0	0
12481037	0.0	0
12481038	0.0	0
12481039	0.0	0
12481040	0.0	0
12481041	0.0	0
12481042	0.0	0
12481043	0.0	0
12481044	0.0	0
12481045	0.0	0
12481046	0.0	0
12481047	0.0	0
12481048	0.0	0
12481049	0.0	0
12481050	0.0	0
12481051	0.0	0
12481052	0.0	0
12481053	0.0	0
12481054	0.0	0
12481055	0.0	0
12481056	0.0	0
12481057	0.0	0
12481058	0.0	0
12481059	0.0	0
12481060	0.0	0
12481061	0.0	0
12481062	0.0	0
12481063	0.0	0
12481064	0.0	0
12481065	0.0	0
12481066	0.0	0
12481067	0.0	0
12481068	0.0	0
12481069	0.0	0
12481070	0.0	0
12481071	0.0	0
12481072	0.0	0
12481073	0.0	0
12481074	0.0	0
12481075	0.0	0
12481076	0.0	0
12481077	0.0	0
12481078	0.0	0
12481079	0.0	0
12481080	0.0	0
12481081	0.0	0
12481082	0.0	0
12481083	0.0	0
12481084	0.0	0
12481085	0.0	0
12481086	0.0	0
12481087	0.0	0
12481088	0.0	0
12481089	0.0	0
12481090	0.0	0
12481091	0.0	0
12481092	0.0	0
12481093	0.0	0
12481094	0.0	0
12481095	0.0	0
12481096	0.0	0
12481097	0.0	0
12481098	0.0	0
12481099	0.0	0
12481100	0.0	0
12481101	0.0	0
12481102	0.0	0
12481103	0.0	0
12481104	0.0	0
12481105	0.0	0
12481106	0.0	0
12481107	0.0	0
12481108	0.0	0
12481109	0.0	0
12481110	0.0	0
12481111	0.0	0
12481112	0.0	0
12481113	0.0	0
12481114	0.0	0
12481115	0.0	0
12481116	0.0	0
12481117	0.0	0
12481118	0.0	0
12481119	0.0	0
12481120	0.0	0
12481121	0.0	0
12481122	0.0	0
12481123	0.0	0
12481124	0.0	0
12481125	0.0	0
12481126	0.0	0
12481127	0.0	0
12481128	0.0	0
12481129	0.0	0
12481130	0.0	0
12481131	0.0	0
12481132	0.0	0
12481133	0.0	0
12481134	0.0	0
12481135	0.0	0
12481136	0.0	0
12481137	0.0	0
12481138	0.0	0
12481139	0.0	0
12481140	0.0	0
12481141	0.0	0
12481231	0.0	0
12481232	0.0	0
12481233	0.0	0
12481234	0.0	0
12481235	0.0	0
12481236	0.0	0
12481237	0.0	0
12481238	0.0	0
12481239	0.0	0
12481240	0.0	0
12481241	0.0	0
12481242	0.0	0
12481243	0.0	0
12481244	0.0	0
12481245	0.0	0
12481246	0.0	0
12481247	0.0	0
12481248	0.0	0
12481249	0.0	0
12481250	0.0	0
12481251	0.0	0
12481252	0.0	0
12481253	0.0	0
12481254	0.0	0
12481255	8.333333333333334	6
12481256	37.5	27
12481257	37.5	27
12481258	37.5	27
12481259	36.111111111111114	26
12481260	34.72222222222222	25
12481261	33.333333333333336	24
12481262	33.333333333333336	24
12481263	33.333333333333336	24
12481264	33.333333333333336	24
12481265	34.72222222222222	25
12481266	34.72222222222222	25
12481267	38.888888888888886	28
12481268	38.888888888888886	28
12481269	38.888888888888886	28
12481270	38.888888888888886	28
12481271	38.888888888888886	28
12481272	38.888888888888886	28
12481273	36.111111111111114	26
12481274	36.111111111111114	26
12481275	34.72222222222222	25
12481276	33.333333333333336	24
12481277	33.333333333333336	24
12481278	37.5	27
12481279	40.27777777777778	29
12481280	40.27777777777778	29
12481281	40.27777777777778	29
12481282	40.27777777777778	29
12481283	40.27777777777778	29
12481284	40.27777777777778	29
12481285	40.27777777777778	29
12481286	40.27777777777778	29
12481287	38.888888888888886	28
12481288	38.888888888888886	28
12481289	38.888888888888886	28
12481290	38.888888888888886	28
12481291	40.27777777777778	29
12481292	40.27777777777778	29
12481293	41.666666666666664	30
12481294	40.27777777777778	29
12481295	40.27777777777778	29
12481296	40.27777777777778	29
12481297	40.27777777777778	29
12481298	40.27777777777778	29
12481299	40.27777777777778	29
12481300	40.27777777777778	29
12481301	40.27777777777778	29
12481302	40.27777777777778	29
12481303	40.27777777777778	29
12481304	40.27777777777778	29
12481305	40.27777777777778	29
12481306	38.888888888888886	28
12481307	38.888888888888886	28
12481308	38.888888888888886	28
12481309	34.72222222222222	25
12481310	34.72222222222222	25
12481311	33.333333333333336	24
